작성자,댓글,화수,날짜,좋아요 수,연관 댓글 수
야루,어떡해 너무 좋아 진짜 먼치킨 짱짱맨이다ㅠㅜㅡㅠㅜ,나 혼자만 레벨업 외전 12화,19.08.05,8,댓글 달기
초시침,tv부시고 나왔엌ㅋㅋㅋㅋ,나 혼자만 레벨업 126화,19.07.29,8,댓글 달기
베르,ㅋㅋ이그리트 문 근처까지 와있던건 왜이렇게 안오나 뭔일있나 걱정돼서 슬쩍 보려고 나와있던거 같은데,나 혼자만 레벨업 후일담 4화,19.07.23,8,1
에오,요즘 일본 관계 별론데 소설에서 저런 내용 나오니까 살짝 묘하네...,나 혼자만 레벨업 104화,19.07.17,8,댓글 달기
Conera,완결난뒤에 봐서 존나 다행이다..,나 혼자만 레벨업 190화,19.07.15,8,1
리오,다시 정주행하고있는데 이소설은 웹툰이 잘되서 독자가 많이늘었네요 원래 소설도 잼나지만 웹툰이 진짜한몫했음,나 혼자만 레벨업 211화,19.07.09,8,1
ㅓㅏㅓㅏ,"이그리트:1번부터10번까지 답은 3,4,2,4,1,4,3,5,2,4 입니다

진우:해답지 하고는 다 다른데? 너 솔직히 말해, 아무 숫자나 막 부르는거지?

아.. 들켜버렸다
하지만 나는 주군의 충실한 검!
주군을 위한 찍기는 오늘도 계속되..

진우:야! 왜 말이 없어!!

기전에 먼저 도망부터가야...컥!",나 혼자만 레벨업 외전 5화,19.07.02,8,댓글 달기
책읽는뱀,댓글창 보면 이 소설은 작가님과 독자님들의 애정과 애증이 마구 뒤섞인 채로 장거리 2인 3각 경기를 뛴 느낌이네요. 서로 좋아하는데 밉다가 사랑했다가 싫었다가 애정이었다 애증이었다가. 너무 처절함이 느껴져요ㅠㅠ,나 혼자만 레벨업 183화,19.07.01,8,댓글 달기
공부해,"웹툰으로 입문하여 뒷 이야기가 궁금해
소설로 달렸습니다 작가님 치료 잘 받으세요ㅠ",나 혼자만 레벨업 후일담 6화(완결),19.06.25,8,댓글 달기
아르카디오,진우 오늘만큼은 의도치 않은 변태,나 혼자만 레벨업 153화,19.06.23,8,댓글 달기
엘&진우&리&마왕♡,아.. 폭행이 ㅅ폭행이었구나...아무리 소설이지만 양아빠 개쓰ㄹ기 베르!!!! 너로정했다!!!! 평생의 고통과 공포를 선물로주거라,나 혼자만 레벨업 외전 20화,19.06.19,8,1
당고,소설인데 저새끼들 왜케열받냐 독도지네땅이라. 우기는거생각나네,나 혼자만 레벨업 103화,19.06.09,8,댓글 달기
사람,"예상하는 전개
1.후퇴하다 걸린다
2.일본이 공포앞에서 배신 때린다
3.진우가 어쩔수 없다는듯이 행동한다
4.진우가 클리어한다
5.모든 헌터와 진구 깟던 애들이 놀란다
6.그림자 병사가 늘어났다!",나 혼자만 레벨업 115화,19.06.01,8,댓글 달기
Deadoralive1,난 또 숟가락으로 뒤통수 후리려는 줄,나 혼자만 레벨업 25화,19.05.31,8,5
피곤하데스,....웹툰이 어디까지 갈지는 모르지만 이장면까지 그려줬으면 좋겠네요,나 혼자만 레벨업 외전 18화,19.05.25,8,2
엘&진우&리&마왕♡,어뜩해..탱크 핵귀요미ㅠ 귀여웡...앞발을 가지런히 으행~♥,나 혼자만 레벨업 105화,19.05.24,8,댓글 달기
카딘,여기까지가 나혼렙 웹툰편의 72화입니다,나 혼자만 레벨업 88화,19.05.23,8,2
카카페,A급11명 B급6명 사이에 SSS급이 하나 있네,나 혼자만 레벨업 85화,19.05.21,8,댓글 달기
능글+여주를위험하게하는남주죽ㅇ,아 놔 그놈의 선배선배 성진우의 여자가 될 사람은 딱 한사람 차해인이야! 나머지는 꺼져,나 혼자만 레벨업 139화,19.05.21,8,댓글 달기
르렌,진짜이거보고 울컥했음..ㅠㅠ 나중에 성진우헌터님.. 할때 진짜크윽...ㅠㅠㅠㅠㅠㅠㅠㅠ,나 혼자만 레벨업 237화,19.05.15,8,1
ohh,헬육아에서 드디어 벗어난 기쁨의 춤 ㅋㅋㅋㅋㅋ,나 혼자만 레벨업 후일담 2화,19.05.04,8,댓글 달기
v0w0v,교실이 얼마나 크길래 오크 시체가 50이 넘엌ㅋㅋㅋㅋㅋ,나 혼자만 레벨업 142화,19.05.02,8,댓글 달기
루비,와 스토리 연결이 기가막힘,나 혼자만 레벨업 200화,19.04.23,8,댓글 달기
똘똘이스머프,???:호오 인간주제에 제법이군요 제 전투력은...(쾅!)???:아...아.아니..... 말좀....,나 혼자만 레벨업 외전 15화,19.04.20,8,4
이현우,웹툰이나 소설에 제 돈 사용하면서 본 첫 작품입니다 진짜 너무 재밌었어요 ㅜㅜ,나 혼자만 레벨업 243화(완),19.04.16,8,댓글 달기
Tho,제주도에서 일본 헌터들이 죽고 우리나라 헌터들만 살아돌아올듯,나 혼자만 레벨업 104화,19.04.16,8,1
같이변서황보실래요?,"이 생각 밖에 안 든다.
'미쳤다'",나 혼자만 레벨업 220화,19.04.09,8,댓글 달기
패닉5,여탕을 훔쳐보던 그림자 병사와 위치가 바뀌었습니다.,나 혼자만 레벨업 108화,19.04.07,8,4
ㅇㅇ,아 진짜 기여워ㅜㅜㅜㅜㅜㅜㅜ 어떻게ㅠㅜㅜㅜ,나 혼자만 레벨업 후일담 1화,19.04.04,8,댓글 달기
뭉소,너무 늦게 왔어엉 ㅜㅠㅜㅜㅠ 힐러가 쥬겄어어엉..... 한국의 유일한 s급 힐러 였는데에......ㅜㅜㅜ,나 혼자만 레벨업 117화,19.04.04,8,댓글 달기
비타Moon,초반에 나왔던 신수의 조각이 여기서 쓰였구낰ㅋㅋㅋㅋ,나 혼자만 레벨업 외전 13화,19.03.31,8,댓글 달기
민이,"나도 키가 179라서

마지막 자리 5의 배수로 맞추려고

180이라고 하지",나 혼자만 레벨업 17화,19.03.30,8,1
다뫄곰대박나다,띠링!던전의 주인이 진우로 바뀌었습니다!,나 혼자만 레벨업 19화,19.03.29,8,댓글 달기
오삼쭈꾸미ˎ₍•ʚ•₎ˏ,너의 미래가 보여서 내가 다 떨린다 새끼야...내 주군의 살 떨리는살기가 지금 그림자인데도 쉬야 쌀거같이 느껴져서그래...,나 혼자만 레벨업 189화,19.03.20,8,댓글 달기
인J,"지배자의 손길이 몸의 연장선이라는 설정인가요..?
타인을 밀어 내가 밀려난다라.. 
분명 염동력의 한 갈래라고 알고있는대
그렇다면 타인을 미는것이 아니라 나를 잡아 당긴다가 맞는거 아닐지...",나 혼자만 레벨업 72화,19.03.16,8,1
냥♡,부자가 둘이 다 해먹는 소설이였군 ㅋㅋㅋㅋ 근데 넘 잼다요 ㅠㅠ 웹툰보고 넘어왔는데 밤 샜음 ㅜㅜ,나 혼자만 레벨업 105화,19.03.07,8,댓글 달기
cyco狂,와....개간지..... 크록타 이후로 이렇게 멋진 주인공은 처음이ㅑ...,나 혼자만 레벨업 238화,19.03.02,8,2
군마조각상,작업하나는 끝내주게 잘하는 개미 3백마맄ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ일개미네 일개미야 ㅋㅋㅋㅋ,나 혼자만 레벨업 211화,19.03.02,8,댓글 달기
heesung,"근데 생활고 시달리는 
등급 낮은 헌터는
일부러 자살하러 들어갈수도있겠네
가족들한테 위로금? 5억? 나간다니까.
보험사기 치듯이",나 혼자만 레벨업 37화,19.02.28,8,1
나리,시스템한테 쥔공이랑 같이 설득당햇다...,나 혼자만 레벨업 52화,19.02.26,8,댓글 달기
꿀꿀,"추공은 떨리는 눈빛을 오른쪽 손으로 옮겼다.
오른 손
왼 손
왜 몰랐을까?
두손으로 글을 쓰면 한번에 두번 연재할 수 있는데...",나 혼자만 레벨업 160화,19.02.24,8,댓글 달기
와~질러보아.소리향,"어~?  그럼 진아는 괜찮나?
초s급이 옆에 있는데 진즉에 사경을 헤메야 했겠는데
것도 플레이어여서 또 제외되는 거??",나 혼자만 레벨업 99화,19.02.22,8,6
ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,연애하는 도중에 몇명이 죽은걸까.... ㅜㅜ 데이트 큰일 해결하고 하지..,나 혼자만 레벨업 213화,19.02.21,8,댓글 달기
춰라,와 진짜 잘 오다가 하차하고 싶게 만드네.. 뭐지 이거,나 혼자만 레벨업 214화,19.02.08,8,댓글 달기
비비,유진호 저런점이 귀염돋는듯>.<*,나 혼자만 레벨업 66화,19.02.07,8,2
지크프리트♥,아진짴ㅋㅋㅋ개재밋엌ㅋㅋㅋㅋ진우빠들ㅋㅋㅋㅋㅋㅋㅋ핵귀네,나 혼자만 레벨업 외전 13화,19.02.07,8,댓글 달기
지크프리트♥,올 그렇게 주희가 진우를 만난거군,나 혼자만 레벨업 외전 1화,19.02.07,8,댓글 달기
푸르댕딩,"근대 다른사람 입장에선 좀 으스스할듯..
오크머리에 척추 달린채로 이리저리 휙휙날라다니면....",나 혼자만 레벨업 85화,19.02.01,8,댓글 달기
YUNA(루이나르샤),아니 진우야 여자애가 오해해서 얼굴 빨개진채로 고개를 푹 숙이면 얼른 아니라고 오해를 풀어줘야지는 개뿔 사겨라!사겨라!,나 혼자만 레벨업 105화,19.01.31,8,3
네네순살반반,그림자 겁나많은데 유진호한테 하나도 안붙여 놨네,나 혼자만 레벨업 188화,19.01.28,8,댓글 달기
Nu,"와 소설이지만 일본놈들 존나 역겹네 ㅋㅋ
현실반영 정말 잘하셨네요 지금하는짓을 보면 이러고도 남을듯요",나 혼자만 레벨업 104화,19.01.27,8,1
선자불래래자불선,"이거 대박소설이네..
멈출 수가 없어!",나 혼자만 레벨업 66화,19.01.25,8,댓글 달기
청룡관우,물뎀 말고 마뎀 감소 기능도 함께 있는 투구는 나와야 S급 아닐까??,나 혼자만 레벨업 48화,19.01.23,8,댓글 달기
경석e,그렇게 황동석을 아꼈으면 가족을 데리고 미국에서 같이 살던가;;;,나 혼자만 레벨업 189화,19.01.23,8,댓글 달기
망치는좋은대화수단,뭐든 해준다...?(음흉,나 혼자만 레벨업 101화,19.01.20,8,댓글 달기
마녀,베댓만보면 진우는 지구를 위해 일분일초도 자신의 시간을 가지면 안되는줄...,나 혼자만 레벨업 214화,19.01.18,8,2
..,사랑인건갘ㅋㅋㅋㅋ,나 혼자만 레벨업 외전 17화,19.01.12,8,댓글 달기
좜좜,"미란이네 아빠가 돈이 그렇게 많았나?
그리고 숨겨둔 아들까지???",나 혼자만 레벨업 22화,19.01.11,8,2
배부른고양이,"주인공 올챙이적 생각은 이미 안드로메다에...
자기가 세졌다고 약한애가 말거는거 싫어함.",나 혼자만 레벨업 40화,19.01.10,8,댓글 달기
둥둥,용제와의 첫번째 전투에서의 활약? 등 톡톡?ㅋㅋㅋㅋㅋㅋㅋㅋ 귀여워 어금니ㅜㅜㅠㅠㅠㅠㅠㅠㅠㅠ,나 혼자만 레벨업 외전 13화,19.01.10,8,댓글 달기
스파르타고니,완결보고 웹툰보고 다시 보는중요. 잼남. 꿀잼,나 혼자만 레벨업 32화,19.01.08,8,3
루키아♥알렌,"우리나라 드라마,영화,소설...등등 연애가 없어도 되는데 왜 굳이 연애를 넣는지... 했는데... 여기서...이상황에서...갑자기 연애라니... 이건 좀 실망....",나 혼자만 레벨업 213화,19.01.06,8,3
리쌍,여섯번째 아니다! 유일이야!!,나 혼자만 레벨업 183화,19.01.03,8,1
달달무슨달,"장군급 나올꺼라고 하는 사람은 주인공이 진짜로 고건희 회장을 그림자병사로 만들꺼라고 생각하시는건가요? 이때까지 200화씩이나 읽으시면서 소설 잘못 읽으셨네요
스포긴 하지만 하나 알려드리자면 주인공이 악인 아닌 사람을 병사로 만드는건 한번 뿐이에요 그것도 다시 무로 돌려보내구요",나 혼자만 레벨업 201화,19.01.03,8,4
안녕,"그리고 c급 던전은 10명이라고 안햇나요?
b등급이상 이라면 모를까 d와 e급 둘이서
들어간다면 출입금지 당할듯",나 혼자만 레벨업 26화,19.01.02,8,댓글 달기
에아,진우의세포들같네 ㅋㅋㅌ,나 혼자만 레벨업 외전 13화,18.12.01,8,댓글 달기
Min,두번째 페이지 보자마자 우진철 과장...아니 회장...? 지금은 뭔지 모르겠지만 어쨌거나 우진철씨 얘기인 거 아신 분 머리위로 동글뱅이 좀 래주세요 나혼렙 정주행하는데 외롭습니다 흑흑,나 혼자만 레벨업 외전 1화,18.11.28,8,댓글 달기
참치참치파워,좋아하는 사람은 해인이 아닌갑...우리의 귀요미 헌터 차해인..,나 혼자만 레벨업 232화,18.11.18,8,댓글 달기
하니,그냥 주인공 가족이 죽었으면 딱이였을듯,나 혼자만 레벨업 214화,18.10.28,8,1
Highwalker,"추공 작가님을 영어로 하면?
미스터 추~",나 혼자만 레벨업 224화,18.08.20,8,댓글 달기
..,협회장님의 환상을 깨는게 죄송스러울 정도로 흐뭇해하셔.......ㅋㅋㅋㅋㅋ,나 혼자만 레벨업 134화,18.08.12,8,댓글 달기
🍎촉촉찐빵사과떡🐶,"이 모든건 성진우가 연애를 하려햇기때문이다
결론은 역시 이런 장르에서 연애란 하면 안대는거엿어",나 혼자만 레벨업 214화,18.07.28,8,댓글 달기
아쉘,이게 뭐야..그동안 잘 하더니 데이트하느라 지금까지 쌓아둔 이미지 홀랑 말아먹었네...에휴,나 혼자만 레벨업 214화,18.06.23,8,댓글 달기
미야,"아...주인공...정말 코×, ×전일 급이었구만ㅋㅋ
저번 던전에서는 에스급헌터에 에이등급 레이드팀이니 진우가 활약할 일이 없으니 사건이 안터졌으나
이번에 삐급 애들이랑 있으니 사건이 터지는구먼..
살인사건을 몰고 다니는 코×이랑 ×전일과 다를게 없구만~~",나 혼자만 레벨업 86화,18.06.20,8,1
edswa46782,"결국 주인공이 나라를 꿀걱했구나..ㅜ
대통령은 바지사장 일뿐..",나 혼자만 레벨업 204화,18.06.09,8,댓글 달기
고먐미빔,음...좀 부자연스러움... 차해인 지금까지 잊고지내다가 작가가 희생양만드려고 일부로 집어넣은 느띰,나 혼자만 레벨업 212화,18.06.09,8,댓글 달기
카드값줘체리,작가를 언데드화 시켜서 글쓰게 시키자,나 혼자만 레벨업 54화,18.05.24,8,댓글 달기
shuri,"군주의분노로 오크가 떨고있다....
하이오크 : 오오 ㅅㅂ 망했다ㅠㅠ",나 혼자만 레벨업 189화,18.05.19,8,댓글 달기
Nano,s아니야ss지,나 혼자만 레벨업 78화,18.05.12,8,2
부대찌개사랑해요❤❤,설마 베르가 그 민헌터? 머리 먹어서??,나 혼자만 레벨업 143화,18.04.06,8,댓글 달기
다음화보러가세요,이게 무슨 일이오 200..200캐쉬님이 안계시다니ㅜ,나 혼자만 레벨업 124화,18.03.21,8,댓글 달기
Unidle,이번에 뼈저리게 느끼겠지. 그림자 교환을 쓸데없이 남발하면 안되겠다는 것을..,나 혼자만 레벨업 138화,18.03.19,8,댓글 달기
ㅎㅎ,저 안민운지 뭔지가 일벌릴것 같은데 그냥 죽이지.. 경고를 해줘도 못알아 먹는걸..,나 혼자만 레벨업 42화,18.03.17,8,댓글 달기
위드,"아무래도 시스템이 진우 가는 곳 마다 말썽을 만들어주는것 같은 느낌적인 느낌이네요...
시스템이 키워주거나 아님 테스트 중?",나 혼자만 레벨업 85화,18.03.16,8,1
천마,상급던전을 혼자 쓸어 버리는 놈을 무슨수로 영입하라는거지?? 이미 돈은 의미가 없는데?? 안과장 사표 써야겠네,나 혼자만 레벨업 65화,18.03.15,8,1
띠로리~,아빠는 최종보스 ㅋㅋㅋㅋ 겁나 무서운,나 혼자만 레벨업 후일담 5화,18.03.15,8,댓글 달기
cacao,ㅋㅋㅋ 진호 귀엽다 ㅎ,나 혼자만 레벨업 21화,18.03.15,8,댓글 달기
^ㅅ^,"축하합니다
70억분의1확률로당첨되셨습니다",나 혼자만 레벨업 106화,18.03.14,8,댓글 달기
🌕月,"회장사마 스고이 ...
손안쓰고 폰볼수있으면
좋겠다.",나 혼자만 레벨업 197화,18.03.14,8,댓글 달기
(히죽),허무하게 죽은 엄청쌘보스... 나도 게임에 베르처럼 쌔면 좋겠당... 맨날 게임마다 한 렙80까지 올리다가 다음 퀘스트 하다 죽어. 맨날. 죽어. 죽고죽고죽고. 또 죽고. 원래 파티로 해야하는건데... 같이 해줄 플레이어없음.ㅠㅠㅠ,나 혼자만 레벨업 144화,18.03.14,8,댓글 달기
일산흔남,헌터X헌터 를아시나요?,나 혼자만 레벨업 115화,18.03.13,8,댓글 달기
sungyue7973,여왕 개미알은 무조건 미리 깨부수고 나서 생각해야지~ 민간인이 생각 하는걸 .헌터대장이 그 생각 못하나?,나 혼자만 레벨업 115화,18.03.13,8,1
(•ө•),왜 수줍어해ㅋㅋㅋㅋㅋ,나 혼자만 레벨업 103화,18.03.13,8,댓글 달기
수달이기가막혀,추공님 정말 제인생의 명작 하나를 뽑으라면 그것은 레바툰도 아니오 엘퀴네스도 아닌 나 혼자 레벨업 입니다ㅠ.. 정말 이제 끝이 다가오는것 같네요.. 보내드리긴 싫지만.. 계속 잡아두고싶지만.. 다음 작풍이 나오는 날까지 기다릴게요!!  나 혼자 레벨업 만화로 나온것도 잘 보고 있었요!!,나 혼자만 레벨업 후일담 5화,18.03.12,8,5
마검키보드,"일본 망해라,",나 혼자만 레벨업 103화,18.03.12,8,댓글 달기
유_,근데... 1시간 대여권에 친구 대여권 등 엄청나게 있었지만 이 소설 독자들은 다들 지른 것 같음. 나는 예전에 기무 되기 전부터 열심히 소장권으로 보고 있었고 실제로 돈 질러서 보는 것도 이 소설이 처음임. 엄청나게 뜬 거랑 기무된 거랑 완결난 거 까지 전부 축하하고 완결까지 3일만에 다시 정주행 끝냈는데 진짜 섭섭하고 다시 오기만을 빌겠음... 사랑함!,나 혼자만 레벨업 243화(완),18.03.11,8,3
"뉴블랙조아ヾ(๑╹◡╹)ﾉ""",아... 유진호 여자친구가 성진우였구나...,나 혼자만 레벨업 57화,18.03.11,8,댓글 달기
그저웃지요,"아니 진짜 제가 금요일인가 목요일부터 보기 시작해서 어느새 176화까지 왔는데 감탄스럽다는 말 밖에는 워후 그냥 몰입도가 장난 아닙니다 진짜 지금 미친듯이 보고 있어요 너무너무 재미있고 이건 더 많은 사람이 봐야한다구요!! 그리고 도대체 어떤 결말인지, 그 전에 도대체 어떤 놈들이 나올지 기대됩니다. 1시간에 1편 무료 너무 감사합니다!!",나 혼자만 레벨업 176화,18.03.10,8,댓글 달기
미르,저거 용제지?,나 혼자만 레벨업 235화,18.03.10,8,댓글 달기
경석,그림자 군주인데 그림자는병사는 안싸우고 맨날 지가  다 싸우니 좋아,나 혼자만 레벨업 222화,18.03.10,8,1
🍎촉촉찐빵사과떡🐶,"난 분명 1시간마다 올라오는 나혼렙을 보고있지만 왜 내손은 멈추지않는것일까
그래 이건 마약이었어 그렇다면 내가 따라줘야겠지? 그렇게 내 손가락은 빠르게 다음화로 향하고 말았다....",나 혼자만 레벨업 75화,18.03.09,8,댓글 달기
해피해피,왜 사람을 위협해??? 웃기는 남주네...말하고 다니면 죽이게??재밌게봤는데 급짜증나는 소설이네..,나 혼자만 레벨업 42화,18.03.09,8,2
🍎촉촉찐빵사과떡🐶,왘ㅋㅋㅋ진우눈에는 버스몬스터가 공포의 대상이 아니라 좋은걸 내놓는 먹잇감이었엌ㅋㅋㅋㅋ,나 혼자만 레벨업 71화,18.03.08,8,3
르렌,와....... 작가님 솔직하게 말해보세요. 국어점수 100점이죠? 막 말듣쓰 이런거 100점만점이시죠? 창작부문도 혼자 막 1등 다 쓸어가고 그러셨죠??,나 혼자만 레벨업 157화,18.03.08,8,3
내_동생은_마왕_난_또라이천왕,박혀도 상관없다는 듯이 움직인 까닭이 허공에 박힌거여서 같군,나 혼자만 레벨업 46화,18.03.08,8,댓글 달기
김케챱,"하... 왜 1시간 무료를 이렇게 긴 기간 내거셨는지 알겠네요.. 어차피 1시간 기무라도 읽기시작하면 다 질러서 봐야하는거였어..ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
이렇게 흡입력있고 엔딩까지 깔끔한작품은 처음이에요 감사합니다",나 혼자만 레벨업 243화(완),18.03.08,8,댓글 달기
cacao,ㅋㅋㅋ 베르 간만에 코에 바람 넣었네~ 기분좋지 ㅎ,나 혼자만 레벨업 143화,18.03.07,8,댓글 달기
붉디붉은피,조부장님아...ㅋㅋㅋ 아진길드 면접보러 갔다왔어?,나 혼자만 레벨업 184화,18.03.06,8,댓글 달기
10고급입맛,추측들이 카미쉬에서 못벗어나네... 추공의 발톱깎이 예상해봅니다,나 혼자만 레벨업 202화,18.03.05,8,댓글 달기
이수민,아직 끝이 아니었다고?,나 혼자만 레벨업 후일담 1화,18.03.05,8,댓글 달기
내일하루,근데 셀너 부인정도면 사라진 시간을 인지할 수 있지 않을까,나 혼자만 레벨업 외전 15화,18.03.04,8,댓글 달기
주니,나는 그 독일헌터 만나는주 알았는데ㅠㅠㅠㅠㅠ불쌍해,나 혼자만 레벨업 211화,18.02.19,8,1
한송이꽃,그런데 전번에 거인들의 왕이 지배자들과 군주 양쪽에서 진우를 노릴거라고 하지 않았나?그럼 고민말고 양쪽다 족쳐부러.ㅋㅋㅋㅋ,나 혼자만 레벨업 197화,18.02.04,8,댓글 달기
♡베르♡,미치겟다 베르의 기억 ㅋㅋ,나 혼자만 레벨업 외전 6화,18.02.02,8,댓글 달기
노아,아나 진짜 초기화 된 줄 알고 조따 놀랬음,나 혼자만 레벨업 218화,18.01.30,8,댓글 달기
슈제,증거를 내놓으라는 적반하장에는 '저를 믿지 않는 사람들을 위해 싸울 생각은 없습니다. 오늘부로 잠정 휴업 ㅇㅇ' 선언해버리면 아쉬운 놈들이 알아서들 굽신거리게 되어있다. 그게 사람 사는 세상의 이치다.,나 혼자만 레벨업 234화,18.01.28,8,댓글 달기
SSH,우리 진우 맨날 이럴 때만 연락두절이나 딴 짓 하고있네 ㅋㅋ,나 혼자만 레벨업 213화,18.01.17,8,1
이우진,와 진짜 이 소설 개꿀맛 미쳤어!!!!,나 혼자만 레벨업 103화,18.01.11,8,댓글 달기
아이작♡해골씨,"현기철 귀엽네요
여기 금연구역이래 ㅋㅋ",나 혼자만 레벨업 42화,18.01.08,8,1
미치광이군주,"차해인의 개코 ㅋㅋㅋㅋㅋㅋㅋ
깜놀이다 ㅋㅋㅋ 이리 등장할 중이야 ㅋㅋㅋㅋ",나 혼자만 레벨업 외전 4화,17.12.28,8,댓글 달기
RAIN,우ㄹㅣ...이그리트도...,나 혼자만 레벨업 227화,17.12.21,8,댓글 달기
이매력,티 찢 일러스트가 필요해요 추공마마😆😆😆,나 혼자만 레벨업 238화,17.12.20,8,댓글 달기
유이플,잊혀버린 독일 헌터... ㅠ,나 혼자만 레벨업 211화,17.12.16,8,2
HjC,백윤호한테 병사 붙였놨나? 차해인은 민감하니까 성진우의 기척이 묻어났을지도 모르지. 명단에 없는 상태에서 제주도에 개입하려면 그 방법뿐이기도 하고. 그보단 방송 될지 안될지의 여부가 궁금하네요.,나 혼자만 레벨업 114화,17.12.16,8,댓글 달기
연참의사수,다시 읽고있는 나혼업 독자인데요. 문득 생각해보니 왜 게이트를 없애는데 돈을 내야되죠?,나 혼자만 레벨업 38화,17.12.13,8,2
경준,온몸이 소름이 돋을정도로 재밌기에 마지막회에 가까워지면서 아쉬워지는 마음도 커져가는것 같네요 ㅠㅠ,나 혼자만 레벨업 219화,17.12.13,8,댓글 달기
글읽는기계,그렇게 그들은 음란물을 같이보며..... 하앙~♡,나 혼자만 레벨업 122화,17.12.12,8,1
뽀~♡,"점점 복잡해져ㅋㅋ
저 그지같은 왕은 머리 굴리다 갔네ㅋ",나 혼자만 레벨업 175화,17.12.07,8,댓글 달기
연대의예22학번,급소 브레이커가 출몰했어!,나 혼자만 레벨업 107화(수정),17.12.04,8,댓글 달기
연대의예22학번,응 군주들중에 제일 좋은능력이야~~,나 혼자만 레벨업 52화,17.12.04,8,댓글 달기
이럴수가,카카오 페이지 독자 평균 수준이 너무 낮기때문에 보는 사람 많다고 해서 다 명작 소설인건 아니지만 100만명 이상이면 볼만 하다는 거죠,나 혼자만 레벨업 1화,17.12.03,8,3
서플,오랜만에 다시봤는데 넘 잼있다 다른작품언제나오지,나 혼자만 레벨업 외전 21화(완결),17.12.02,8,댓글 달기
고냥이,뭔가... '겨우 B급을..' 이란 생각이 듦.. 갈길이 멀구나...,나 혼자만 레벨업 33화,17.11.25,8,3
망상하는린델주민,일 없습니다라니 북한말 같은데요,나 혼자만 레벨업 60화,17.11.24,8,댓글 달기
뷰티플라워,"우리 진우 혼자 외로이 싸우는겨?
인류를 위해? 가끔 드는 생각은
왜 인류는 모두가 다 힘을 합쳐 헤쳐나가지 못하는가? 왜 꼭 영웅의 고독한 싸움만이 있는가하는 의문점
그게 영웅이겠지만
리더의 통솔력으로 이끌어 갈 순  없는것인가?
괜한 의문점만 들다 담편 읽으러 ㅎ",나 혼자만 레벨업 238화,17.11.23,8,1
🌸🌸고냥이로소이다🌸🌸,"겨우 뼈 좀 붙었다 했는데 또 뽀개짐.,
진우 만난 후로 계속 뽀개짐의 연속이네..",나 혼자만 레벨업 214화,17.11.22,8,2
ZI존,하지만 용재도 발리지,나 혼자만 레벨업 236화,17.11.21,8,1
뷰티플라워,"히야 쥔공 엄청 폭리로 팔았네 ㅎㅎ
능력이다",나 혼자만 레벨업 45화,17.11.18,8,댓글 달기
양양,S급노예께서 제발로오십니다아마 그놈죽으면복수하겠다고 딴놈들도올가능성아,나 혼자만 레벨업 54화,17.11.18,8,2
꿈꾸는아저씨!!!,"진우가 차혜인에게 심어논 그림자병사하고 감각을 공유하니까 파혜인이 사워하는것까지 보네....ㅎㅎ
스토커기질이 있군.....ㅋㅋ",나 혼자만 레벨업 153화,17.11.16,8,댓글 달기
꿈꾸는아저씨!!!,설정상 일본 동경에서 S급게이트를 막는데 실패해서 던전 블레이크가 터져서 엄청난 피해를 보고 진우에게 막아달라고 하소연하겠네^^,나 혼자만 레벨업 152화,17.11.16,8,댓글 달기
Silver,추공님 기무로 완결까지 볼수있을거같아요 최신 10작품은 선물하면 무료 대여권으로 보면 끝나요 그 대여권도 15개까지 가능하게 해주셔서 감사해요 아직 학생이라 돈이없는데 이런 대작품을 볼수있게 해주셔서 진짜 너무감사해요 추공님 돈벌고 이거 다 살거에요 진짜 완전 감사해요 나 혼자만 레벨업 제 인생 소설같아요 진짜 재밌게 잘보고있습니다 감사해요♥,나 혼자만 레벨업 238화,17.11.15,8,1
lost_one,그림자 추출에 실패했습니다,나 혼자만 레벨업 220화,17.11.12,8,댓글 달기
미니미니언,아니.. 지들나라구해줫으면.. 적어도 통역은되는 인간을 붙이거나 해야하는거아냐?,나 혼자만 레벨업 178화,17.11.12,8,댓글 달기
루미니온,...그냥 뒷목에 붙은 마정석만 캐내서 살면 부하로 설득해보고 안되면 그때잡아도됬을것같은대...미디어는 그냥 무시해도 될태고...,나 혼자만 레벨업 175화,17.11.12,8,댓글 달기
산책로,왜 그림자 교환해서 이동하지 않았을까라는 생각드네요,나 혼자만 레벨업 236화,17.11.11,8,3
S&V♡,시신을 가지고 싶구나... 그림자로 만들려구...,나 혼자만 레벨업 186화,17.11.07,8,댓글 달기
WIZONE,국가권력급 헌터가 죽었으면 그 시체를 그림자로 일으켜서 물어보면 명확할것을....,나 혼자만 레벨업 183화,17.11.06,8,1
//ㅅ//,무슨 속보!!!작까님 게속이렇게 궁금하게 할겁니까?,나 혼자만 레벨업 229화,17.11.04,8,댓글 달기
로프트,근데 성진우아빠는 어디가서 안돌아오는겨?,나 혼자만 레벨업 172화,17.11.02,8,댓글 달기
토끼머겅s2,이 .결.혼. 찬.성.이.야.,나 혼자만 레벨업 212화,17.10.31,8,1
을지부루,이정도면 추공님은 작가가 아니라 중노동자다......,나 혼자만 레벨업 98화,17.10.28,8,댓글 달기
